Out_Avg_Temp,Out_RH,Out_label,In_Avg_Temp,In_RH,In_label
0.0,0.0,1.0,0.0,0.00393297318436,0.0
0.0,0.0,1.0,20.8,0.0147705124167,0.0
15.5,0.0,1.0,20.7,0.0146186277631,0.0
15.8,0.0148843629625,1.0,20.7,0.0146847754,0.0
15.8,0.0149173294363,1.0,20.7,0.0146847754,0.0
15.8,0.0149832623841,1.0,20.7,0.014750923037,0.0
15.9,0.0151239475179,1.0,20.7,0.0147068246123,0.0
15.9,0.0151902806211,1.0,20.7,0.0148170706739,0.0
15.9,0.0152566137242,1.0,20.7,0.014750923037,0.0
15.9,0.015273197,1.0,20.7,0.0148611690985,0.0
15.9,0.0153395301032,1.0,20.7,0.014750923037,0.0
15.8,0.0152634774122,1.0,20.7,0.0148611690985,0.0
15.9,0.0153892799305,1.0,20.7,0.0147288738247,0.0
15.9,0.0153892799305,1.0,20.7,0.0148170706739,0.0
15.8,0.01532941036,1.0,20.7,0.014750923037,0.0
15.8,0.0153623768339,1.0,20.7,0.0148391198862,0.0
15.8,0.0153953433078,1.0,20.7,0.0147288738247,0.0
15.7,0.0153679318797,1.0,20.7,0.0147950214616,0.0
15.7,0.0153843156024,1.0,20.7,0.0147950214616,0.0
15.7,0.0154334667704,1.0,20.7,0.0148170706739,0.0
15.7,0.0154498504931,1.0,20.7,0.0148170706739,0.0
15.6,0.0153565010539,1.0,20.7,0.0147729722493,0.0
15.6,0.015405355246,1.0,20.7,0.0148170706739,0.0
15.6,0.0154216399767,1.0,20.7,0.0147288738247,0.0
15.6,0.0154379247074,1.0,20.7,0.0148611690985,0.0
15.7,0.0155153853838,1.0,20.7,0.0147950214616,0.0
15.8,0.0155272092034,1.0,20.7,0.0148611690985,0.0
15.8,0.0154942427295,1.0,20.7,0.0147950214616,0.0
15.7,0.0153843156024,1.0,20.7,0.0149052675232,0.0
15.7,0.0153843156024,1.0,20.7,0.0147288738247,0.0
15.6,0.0152750774003,1.0,20.7,0.0148611690985,0.0
15.6,0.0153076468617,1.0,20.7,0.0148170706739,0.0
15.6,0.015291362131,1.0,20.7,0.0148391198862,0.0
15.5,0.0152150831821,1.0,20.7,0.0147950214616,0.0
15.5,0.0152312694408,1.0,20.7,0.0148391198862,0.0
15.5,0.0152150831821,1.0,20.7,0.0147950214616,0.0
15.5,0.0151988969234,1.0,20.7,0.0148611690985,0.0
15.4,0.015123006136,1.0,20.7,0.014750923037,0.0
15.3,0.0150793861772,1.0,20.7,0.0149052675232,0.0
15.3,0.0150474044462,1.0,20.7,0.0147950214616,0.0
15.3,0.0150314135807,1.0,20.7,0.0148170706739,0.0
15.5,0.0151341518886,1.0,20.7,0.0148391198862,0.0
15.7,0.0152204783755,1.0,20.7,0.0148170706739,0.0
16.1,0.0152742921824,1.0,20.7,0.0148832183108,0.0
16.8,0.0155117472924,1.0,20.7,0.0147950214616,0.0
16.5,0.0148045979633,1.0,20.7,0.0149273167355,0.0
17.8,0.0156500904649,1.0,20.8,0.0148592242029,0.0
18.8,0.0158772051231,1.0,20.8,0.0149479359892,0.0
19.7,0.0161177040891,1.0,20.8,0.0148592242029,0.0
20.1,0.0160316031532,1.0,20.9,0.0152805217716,0.0
20.9,0.0162174296759,1.0,21.0,0.0153022853094,0.0
21.5,0.0163298944339,1.0,21.0,0.0154369095203,0.0
22.2,0.0165221811115,1.0,21.1,0.0156170986389,0.0
22.6,0.0165618784296,1.0,21.2,0.0157760921644,0.0
