ts,month,day,hour,pm25,pm10,co2,humidity,temperature,voc,Unnamed: 10,0
4/11/2017 16:29,4.0,11.0,17.0,28.2933333,29.9866667,631.2,45.3893333,24.0968333,0.063016667,0.0,1.68902900239e-05
4/11/2017 17:29,4.0,11.0,18.0,28.24,29.695,603.0,45.5576667,23.7733333,0.06305,0.0,1.65915788855e-05
4/11/2017 18:29,4.0,11.0,19.0,26.5783333,28.0683333,583.05,45.842,23.4518333,0.06385,0.0,1.64973436015e-05
4/11/2017 19:29,4.0,11.0,20.0,25.1716667,26.3883333,569.7,46.0566667,23.2858333,0.063833333,0.0,1.63376026152e-05
4/11/2017 20:29,4.0,11.0,21.0,23.5966667,24.8983333,561.066667,46.2208333,23.1133333,0.0637,0.0,1.61436339636e-05
4/11/2017 21:29,4.0,11.0,22.0,20.3683333,21.635,558.183333,46.217,22.9643333,0.065416667,0.0,1.6438026204e-05
4/11/2017 22:29,4.0,11.0,23.0,15.585,16.6,558.033333,45.4178333,22.8621667,0.06845,0.0,1.7099948151e-05
4/11/2017 23:29,4.0,12.0,0.0,10.9183333,12.03,562.15,44.2301667,22.8063333,0.06755,0.0,1.68212318587e-05
4/12/2017 0:29,4.0,12.0,1.0,6.56666667,7.67833333,577.916667,43.5751667,22.9073333,0.069183333,0.0,1.73279000828e-05
4/12/2017 1:29,4.0,12.0,2.0,4.19666667,4.93333333,631.033333,41.601,24.5606667,0.069266667,0.0,1.90595048984e-05
4/12/2017 2:29,4.0,12.0,3.0,3.30833333,4.25,921.883333,40.8603333,25.9391667,0.123433333,0.0,3.67009847175e-05
4/12/2017 3:29,4.0,12.0,4.0,2.63965517,3.53275862,1233.46552,40.0644828,26.4027586,0.115396552,0.0,3.52109330027e-05
4/12/2017 4:29,4.0,12.0,5.0,2.14666667,2.9,1341.45,39.0083333,26.7356667,0.068783333,0.0,2.13803324812e-05
4/12/2017 5:29,4.0,12.0,6.0,2.27,2.89166667,1331.0,37.5381667,27.0391667,0.124966667,0.0,3.95042054583e-05
4/12/2017 6:29,4.0,12.0,7.0,1.935,2.73666667,1582.95,37.5355,27.4728333,0.086133333,0.0,2.78899323131e-05
4/12/2017 7:29,4.0,12.0,8.0,2.07166667,2.89166667,1765.26667,37.4048333,27.9126667,0.095,0.0,3.15166458343e-05
4/12/2017 8:29,4.0,12.0,9.0,1.35762712,1.8440678,2039.54237,38.1708475,28.1616949,0.143949153,0.0,4.84147378981e-05
4/12/2017 9:29,4.0,12.0,10.0,1.39833333,2.015,2149.3,38.1291667,28.2825,0.090516667,0.0,3.06464630239e-05
4/12/2017 10:29,4.0,12.0,11.0,1.12666667,1.67166667,1732.93333,36.7723333,28.06,0.064516667,0.0,2.15779966663e-05
4/12/2017 11:29,4.0,12.0,12.0,0.875,1.20666667,1407.06667,35.7121667,27.5695,0.063833333,0.0,2.07798917879e-05
4/12/2017 12:29,4.0,12.0,13.0,0.776666667,1.20333333,1148.03333,35.2251667,27.0465,0.063566667,0.0,2.01027371284e-05
4/12/2017 13:29,4.0,12.0,14.0,1.11666667,1.635,975.483333,35.3243333,26.4585,0.067316667,0.0,2.06042129046e-05
4/12/2017 14:29,4.0,12.0,15.0,2.15833333,2.99,779.55,34.8256667,25.9288333,0.066816667,0.0,1.98554204538e-05
4/12/2017 15:29,4.0,12.0,16.0,2.55,3.57,656.0,34.6496667,25.4355,0.063616667,0.0,1.83890708108e-05
4/12/2017 16:29,4.0,12.0,17.0,3.445,5.07333333,620.383333,35.4113333,24.8353333,0.070033333,0.0,1.95716286658e-05
4/12/2017 17:29,4.0,12.0,18.0,3.48,4.86833333,597.833333,36.1693333,24.3411667,0.071583333,0.0,1.94539066455e-05
4/12/2017 18:29,4.0,12.0,19.0,3.20666667,4.39833333,578.816667,36.5426667,23.9421667,0.063383333,0.0,1.68400905115e-05
4/12/2017 19:29,4.0,12.0,20.0,2.585,3.69333333,562.866667,36.8926667,23.6236667,0.063266667,0.0,1.6507425162e-05
4/12/2017 20:29,4.0,12.0,21.0,2.35666667,3.245,543.05,36.86,23.3378333,0.063533333,0.0,1.63091455459e-05
4/12/2017 21:29,4.0,12.0,22.0,2.475,3.595,527.066667,37.0533333,22.981,0.063416667,0.0,1.59506659753e-05
4/12/2017 22:29,4.0,12.0,23.0,2.53833333,3.61166667,527.733333,37.8511667,22.8305,0.07455,0.0,1.85900830488e-05
4/12/2017 23:29,4.0,13.0,0.0,2.73833333,3.64666667,549.066667,37.9071667,22.8753333,0.1045,0.0,2.61255277942e-05
4/13/2017 0:29,4.0,13.0,1.0,2.21333333,3.13166667,559.116667,37.439,23.3191667,0.12995,0.0,3.33229377464e-05
4/13/2017 1:29,4.0,13.0,2.0,0.963333333,1.52333333,618.516667,36.2285,24.8266667,0.15295,0.0,4.27227662281e-05
4/13/2017 2:29,4.0,13.0,3.0,1.16666667,1.735,862.733333,35.3125,26.0623333,0.161133333,0.0,4.82414806176e-05
4/13/2017 3:29,4.0,13.0,4.0,0.748333333,1.26,1105.86667,33.9616667,26.9146667,0.117083333,0.0,3.67573645223e-05
4/13/2017 4:29,4.0,13.0,5.0,0.856666667,1.31833333,1118.71667,31.8838333,27.46,0.063666667,0.0,2.06006182292e-05
4/13/2017 5:29,4.0,13.0,6.0,0.555,0.88,1055.9,30.5396667,27.7931667,0.069183333,0.0,2.28011976479e-05
4/13/2017 6:29,4.0,13.0,7.0,0.32,0.58,1254.23333,30.6913333,28.2701667,0.108016667,0.0,3.6546713761e-05
4/13/2017 7:29,4.0,13.0,8.0,1.085,1.315,1376.6,30.288,28.6688333,0.1735,0.0,6.00004351862e-05
4/13/2017 8:29,4.0,13.0,9.0,0.818333333,1.19166667,1578.95,30.5965,28.8853333,0.264633333,0.0,9.26072682219e-05
4/13/2017 9:29,4.0,13.0,10.0,0.666666667,1.05333333,1689.33333,31.0178333,28.9298333,0.30485,0.0,0.000106940773459
4/13/2017 10:29,4.0,13.0,11.0,0.881666667,1.21833333,1325.71667,30.283,28.5318333,0.212016667,0.0,7.27720219167e-05
4/13/2017 11:29,4.0,13.0,12.0,0.485,0.895,978.416667,29.764,27.9081667,0.092766667,0.0,3.0768100103e-05
4/13/2017 12:29,4.0,13.0,13.0,0.893333333,1.255,816.35,30.0238333,27.474,0.067216667,0.0,2.17661283964e-05
4/13/2017 13:29,4.0,13.0,14.0,1.01833333,1.31333333,678.616667,30.1365,27.0821667,0.0642,0.0,2.03432157443e-05
4/13/2017 14:29,4.0,13.0,15.0,1.355,1.685,588.033333,30.2765,26.7356667,0.068266667,0.0,2.12197341156e-05
4/13/2017 15:29,4.0,13.0,16.0,1.09166667,1.34333333,550.066667,30.81,26.4408333,0.068433333,0.0,2.09253973639e-05
4/13/2017 16:29,4.0,13.0,17.0,1.49166667,2.04,528.316667,31.6835,25.8908333,0.06485,0.0,1.92300818996e-05
4/13/2017 17:29,4.0,13.0,18.0,1.285,1.71833333,512.816667,32.51,25.4503333,0.064833333,0.0,1.87563728758e-05
4/13/2017 18:29,4.0,13.0,19.0,1.205,1.59166667,501.466667,33.2105,25.0898333,0.064683333,0.0,1.83375886375e-05
4/13/2017 19:29,4.0,13.0,20.0,1.235,1.80666667,494.666667,33.8803333,24.8281667,0.063616667,0.0,1.77712320915e-05
4/13/2017 20:29,4.0,13.0,21.0,1.25166667,1.69333333,491.333333,34.2898333,24.599,0.063533333,0.0,1.75198246416e-05
4/13/2017 21:29,4.0,13.0,22.0,1.56666667,2.14833333,491.016667,34.7911667,24.401,0.065333333,0.0,1.78156037032e-05
4/13/2017 22:29,4.0,13.0,23.0,2.70862069,3.2637931,497.637931,35.3255172,24.3281034,0.109,0.0,2.96005784733e-05
4/13/2017 23:29,4.0,14.0,0.0,4.685,5.26166667,506.933333,35.349,24.394,0.199333333,0.0,5.43342428157e-05
4/14/2017 0:29,4.0,14.0,1.0,5.07,5.72666667,525.433333,35.386,24.7998333,0.265033333,0.0,7.39184766713e-05
4/14/2017 1:29,4.0,14.0,2.0,3.945,4.89666667,619.866667,35.575,26.011,0.3329,0.0,9.93809663587e-05
4/14/2017 2:29,4.0,14.0,3.0,4.01333333,5.07666667,967.383333,36.5595,27.4465,0.1538,0.0,4.97279286058e-05
4/14/2017 3:29,4.0,14.0,4.0,5.575,6.79666667,1147.68333,35.6505,28.6578333,0.129416667,0.0,4.4728410668e-05
4/14/2017 4:29,4.0,14.0,5.0,6.435,8.13333333,994.783333,33.8788333,29.5388333,0.0751,0.0,2.72346134506e-05
4/14/2017 5:29,4.0,14.0,6.0,5.385,6.33833333,946.233333,33.782,29.8588333,0.0898,0.0,3.3136771769e-05
4/14/2017 6:29,4.0,14.0,7.0,5.56833333,6.395,1121.26667,35.171,29.9926667,0.147533333,0.0,5.48374572475e-05
4/14/2017 7:29,4.0,14.0,8.0,4.195,4.82666667,1306.28333,36.0083333,30.4163333,0.075766667,0.0,2.88155224907e-05
4/14/2017 8:29,4.0,14.0,9.0,4.49666667,5.125,1476.81667,36.4466667,30.8863333,0.106716667,0.0,4.16288024567e-05
4/14/2017 9:29,4.0,14.0,10.0,5.27333333,6.44,1323.23333,35.6588333,31.0601667,0.1334,0.0,5.25268069606e-05
4/14/2017 10:29,4.0,14.0,11.0,5.64166667,6.93333333,764.35,33.9411667,30.6031667,0.063716667,0.0,2.44784572489e-05
4/14/2017 11:29,4.0,14.0,12.0,5.52,6.48833333,497.6,32.1673333,29.9036667,0.062833333,0.0,2.32423827094e-05
4/14/2017 12:29,4.0,14.0,13.0,4.04,4.645,453.283333,32.1895,29.3795,0.068333333,0.0,2.45666818385e-05
4/14/2017 13:29,4.0,14.0,14.0,1.09833333,1.28166667,481.283333,33.7521667,28.8958333,0.098783333,0.0,3.4588644531e-05
4/14/2017 14:29,4.0,14.0,15.0,1.42666667,1.60333333,497.483333,34.8245,28.582,0.11355,0.0,3.90819203595e-05
4/14/2017 15:29,4.0,14.0,16.0,0.775,0.871666667,503.683333,35.6778333,28.3361667,0.068383333,0.0,2.32210641293e-05
4/14/2017 16:29,4.0,14.0,17.0,0.571666667,0.676666667,511.25,36.3766667,28.1156667,0.063883333,0.0,2.14317066326e-05
4/14/2017 17:29,4.0,14.0,18.0,0.833333333,1.00666667,510.05,37.061,27.8756667,0.0635,0.0,2.10234894937e-05
4/14/2017 18:29,4.0,14.0,19.0,1.435,1.68,513.3,38.0358333,27.5268333,0.064316667,0.0,2.08879441854e-05
4/14/2017 19:29,4.0,14.0,20.0,1.65333333,1.925,508.3,38.7043333,27.225,0.066133333,0.0,2.11223361302e-05
4/14/2017 20:29,4.0,14.0,21.0,1.88,2.2,504.183333,39.1691667,26.949,0.06595,0.0,2.074395883e-05
4/14/2017 21:29,4.0,14.0,22.0,2.08474576,2.36949153,504.661017,39.5835593,26.7169492,0.068118644,0.0,2.11517042445e-05
4/14/2017 22:29,4.0,14.0,23.0,2.56,2.99833333,508.4,40.2481667,26.5843333,0.105916667,0.0,3.26467751546e-05
4/14/2017 23:29,4.0,15.0,0.0,5.67333333,6.13,499.9,40.4461667,26.7105,0.220516667,0.0,6.84486808954e-05
4/15/2017 0:29,4.0,15.0,1.0,6.68,7.225,504.0,40.5725,27.072,0.306516667,0.0,9.70719803477e-05
4/15/2017 1:29,4.0,15.0,2.0,5.05166667,5.52333333,522.033333,39.8151667,28.0263333,0.302133333,0.0,0.000100863306425
4/15/2017 2:29,4.0,15.0,3.0,4.98,5.75166667,541.216667,38.9798333,28.997,0.275816667,0.0,9.71117406532e-05
4/15/2017 3:29,4.0,15.0,4.0,3.65084746,4.15423729,623.881356,38.8850847,29.6820339,0.273864407,0.0,0.000100091898235
4/15/2017 4:29,4.0,15.0,5.0,2.92033898,3.29152542,697.847458,38.3001695,30.3827119,0.267711864,0.0,0.000101631093358
4/15/2017 5:29,4.0,15.0,6.0,2.65762712,2.97627119,676.508475,37.0376271,31.0142373,0.114457627,0.0,4.49569445028e-05
4/15/2017 6:29,4.0,15.0,7.0,3.18474576,3.70338983,629.423729,35.2891525,31.5005085,0.063881356,0.0,2.57554363295e-05
4/15/2017 7:29,4.0,15.0,8.0,3.41666667,4.11333333,620.8,34.9283333,31.7623333,0.067533333,0.0,2.76123345256e-05
4/15/2017 8:29,4.0,15.0,9.0,3.325,3.89666667,579.133333,34.9595,31.909,0.082233333,0.0,3.388746914e-05
4/15/2017 9:29,4.0,15.0,10.0,2.85666667,3.07666667,559.066667,35.1648333,31.8795,0.1278,0.0,5.25820200674e-05
4/15/2017 10:29,4.0,15.0,11.0,3.25166667,3.6,563.733333,35.7341667,31.5943333,0.160283333,0.0,6.49481720912e-05
4/15/2017 11:29,4.0,15.0,12.0,3.295,3.62833333,578.483333,36.2345,31.186,0.166683333,0.0,6.60777876853e-05
4/15/2017 12:29,4.0,15.0,13.0,3.55333333,3.85,589.333333,36.5248333,30.8553333,0.174483333,0.0,6.79501472657e-05
4/15/2017 13:29,4.0,15.0,14.0,3.96333333,4.255,590.883333,36.6055,30.6393333,0.1857,0.0,7.14809915136e-05
4/15/2017 14:29,4.0,15.0,15.0,3.855,4.025,586.133333,36.7978333,30.4035,0.175883333,0.0,6.68454323437e-05
4/15/2017 15:29,4.0,15.0,16.0,3.79,4.01333333,572.983333,37.0025,30.1655,0.145616667,0.0,5.46343412407e-05
4/15/2017 16:29,4.0,15.0,17.0,3.535,3.89666667,556.183333,37.4813333,29.8913333,0.085783333,0.0,3.17104797919e-05
4/15/2017 17:29,4.0,15.0,18.0,3.09666667,3.38166667,542.45,38.228,29.5748333,0.0647,0.0,2.3509107278e-05
4/15/2017 18:29,4.0,15.0,19.0,2.80666667,2.99166667,538.383333,38.8183333,29.338,0.064333333,0.0,2.30763942186e-05
4/15/2017 19:29,4.0,15.0,20.0,3.63833333,3.96666667,522.733333,39.6701667,29.0821667,0.0638,0.0,2.25679473898e-05
4/15/2017 20:29,4.0,15.0,21.0,3.83333333,4.09666667,514.516667,40.369,28.861,0.064916667,0.0,2.26870917277e-05
4/15/2017 21:29,4.0,15.0,22.0,3.70166667,3.99,512.583333,40.8213333,28.7383333,0.065216667,0.0,2.26394704931e-05
4/15/2017 22:29,4.0,15.0,23.0,3.965,4.20666667,516.683333,40.9721667,28.616,0.075366667,0.0,2.59882625345e-05
4/15/2017 23:29,4.0,16.0,0.0,7.16,7.53,498.0,41.4613333,28.6011667,0.0742,0.0,2.55651793268e-05
4/16/2017 0:29,4.0,16.0,1.0,5.36166667,5.53833333,506.066667,41.815,28.7255,0.063616667,0.0,2.20685328034e-05
4/16/2017 1:29,4.0,16.0,2.0,4.3,4.51864407,511.389831,41.3708475,29.0522034,0.068627119,0.0,2.42357559329e-05
4/16/2017 2:29,4.0,16.0,3.0,4.095,4.21166667,524.316667,41.0248333,29.3991667,0.0826,0.0,2.97275557862e-05
4/16/2017 3:29,4.0,16.0,4.0,3.03833333,3.195,536.133333,40.532,29.9228333,0.089533333,0.0,3.31533131683e-05
4/16/2017 4:29,4.0,16.0,5.0,2.20666667,2.26333333,546.283333,39.9448333,30.5331667,0.086133333,0.0,3.29655960203e-05
4/16/2017 5:29,4.0,16.0,6.0,1.60833333,1.70666667,573.666667,39.4773333,31.1166667,0.078633333,0.0,3.10564240409e-05
